x_position_um,branch_crossings,mean_radius_um,summed_lumen_area_um2,median_local_tortuosity
4238.99267578125,0,,,
4253.202699770082,0,,,
4267.4127237589155,1,32.871006240880035,3394.500448107655,1.0436092056082016
4281.622747747748,1,38.41520921418429,4636.137182737298,1.0436092056082016
4295.83277173658,1,43.09029197824433,5833.225241701274,1.0304404063767343
4310.042795725413,1,44.08085855800255,6104.49808677534,1.0304404063767343
4324.252819714246,1,45.0714251377607,6381.936132438647,1.0304404063767343
4338.462843703078,1,46.06199171751886,6665.539378691216,1.0304404063767343
4352.672867691911,1,47.05255829727707,6955.307825533062,1.0304404063767343
4366.882891680743,1,49.56904281107281,7719.175909563978,1.0265002036825905
4381.092915669576,1,54.955968870639644,9488.107801863522,1.0265002036825905
4395.302939658409,1,60.34289493020683,11439.37127499562,1.0265002036825905
4409.512963647241,1,65.72982098977367,13572.966328960034,1.0265002036825905
4423.722987636073,1,71.1167470493405,15888.892963756867,1.0265002036825905
4437.933011624906,1,76.50367310890735,18387.151179386135,1.0265002036825905
4452.143035613739,1,80.35407226670992,20284.56296866484,1.035791958647073
4466.353059602571,1,83.1397835538705,21715.390911212067,1.035791958647073
4480.5630835914035,1,85.92549484103107,23194.97754905745,1.035791958647073
4494.773107580237,1,88.7112061281918,24723.322882201086,1.035791958647073
4508.983131569069,1,91.49691741535239,26300.4269106428,1.035791958647073
4523.193155557901,1,93.78126311214575,27630.072745624242,1.0337590036179882
4537.4031795467345,1,95.17911469412991,28459.8885148282,1.0337590036179882
4551.613203535567,1,96.57696627611396,29301.981559291635,1.0337590036179882
4565.823227524399,1,97.97481785809804,30156.35187901462,1.0337590036179882
4580.033251513232,1,99.37266944008218,31022.999473997184,1.0337590036179882
4594.2432755020645,1,103.5960974150096,33716.0479942601,1.0335971910115191
4608.453299490897,1,113.95539573077201,40796.19509102803,1.0335971910115191
4622.66332347973,1,124.3146940465351,48550.622606048986,1.0335971910115191
4636.873347468562,1,134.67399236229753,56979.330539322,1.0335971910115191
4651.083371457395,1,135.3567428602485,57558.525930158234,1.043210527183231
4665.293395446228,1,134.61076978752547,56925.84531392073,1.043210527183231
4679.50341943506,1,133.8647967148025,56296.661138412135,1.043210527183231
4693.713443423892,1,133.11882364207955,55670.97340363243,1.043210527183231
4707.923467412726,1,132.37285056935653,55048.782109581545,1.043210527183231
4722.133491401558,1,131.62687749663354,54430.087256259554,1.043210527183231
4736.34351539039,1,130.88090442391058,53814.88884366645,1.043210527183231
4750.553539379223,1,130.13493135118756,53203.18687180218,1.043210527183231
4764.763563368056,1,130.70784634714528,53672.66879937371,1.0457086742268404
4778.973587356888,1,132.8257995688912,55426.15481609153,1.0457086742268404
4793.183611345721,1,134.94375279063726,57207.82547955912,1.0457086742268404
4807.393635334553,1,137.06170601238315,59017.68078977619,1.0457086742268404
4821.603659323386,1,139.17965923412908,60855.720746742925,1.0457086742268404
4835.813683312219,1,141.29761245587514,62721.945350459435,1.0457086742268404
4850.023707301051,1,143.41556567762106,64616.35460092545,1.0457086742268404
4864.2337312898835,1,143.9956465933964,65140.12645487914,1.0288710544490858
4878.443755278717,1,143.3475161885067,64555.04930672989,1.0288710544490858
4892.653779267549,1,142.69938578361698,63972.61155521879,1.0288710544490858
4906.863803256381,1,142.0512553787273,63392.813200345874,1.0288710544490858
4921.0738272452145,1,141.40312497383755,62815.65424211106,1.0288710544490858
4935.283851234047,1,143.6641052878407,64840.50934012994,1.0349557788750956
4949.493875222879,1,145.9459473819022,66916.61328075218,1.0349557788750956
4963.703899211711,1,148.22778947596365,69025.43253163167,1.0349557788750956
4977.913923200545,1,150.50963157002528,71166.96709276861,1.0349557788750956
4992.123947189377,1,152.79147366408677,73341.21696416267,1.0349557788750956
5006.333971178209,1,153.3905581566071,73917.47587132787,1.0182751198928413
5020.543995167042,1,153.95213718590497,74459.70600618639,1.0182751198928413
5034.754019155875,1,154.5137162152028,75003.917675517,1.0182751198928413
5048.964043144707,1,155.0752952445006,75550.11087931975,1.0182751198928413
5063.17406713354,1,153.70873182949032,74224.44374532688,1.0165723076542157
5077.384091122372,1,152.33115039607395,72899.96443149418,1.0165723076542157
5091.594115111205,1,150.95356896265758,71587.40891072016,1.0165723076542157
5105.804139100038,1,149.57598752924116,70286.77718300477,1.0165723076542157
5120.01416308887,1,145.2008728864514,66235.11993219721,1.0192130936559642
5134.2241870777025,1,140.6428557957326,62141.999808821885,1.0192130936559642
5148.434211066536,1,136.0848387050135,58179.416126198186,1.0192130936559642
5162.644235055368,3,76.1696442119628,63223.1361771717,1.0487532524777559
5176.8542590442,2,100.31136716313905,64898.7428066905,1.0340458270739665
5191.0642830330335,2,103.23309228574297,67909.5788079312,1.0340458270739665
